Inference for Bugs model at "growth-increment.jags", fit using jags,
 5 chains, each with 6000 iterations (first 1000 discarded)
 n.sims = 25000 iterations saved
                     mu.vect sd.vect    2.5%     25%     50%     75%   97.5%  Rhat n.eff
mu.year.indiv[18,1]    1.340   0.063   1.217   1.298   1.340   1.382   1.464 1.001 25000
mu.year.indiv[19,1]    0.888   0.060   0.771   0.847   0.887   0.928   1.005 1.001 25000
mu.year.indiv[20,1]    1.169   0.060   1.052   1.127   1.168   1.209   1.288 1.001 25000
mu.year.indiv[21,1]    0.539   0.081   0.380   0.484   0.539   0.594   0.700 1.001  7200
mu.year.indiv[22,1]    0.954   0.060   0.835   0.913   0.954   0.995   1.072 1.001 14000
mu.year.indiv[23,1]    1.071   0.066   0.941   1.027   1.071   1.115   1.198 1.001 25000
mu.year.indiv[24,1]    1.116   0.067   0.985   1.071   1.116   1.160   1.247 1.001 25000
mu.year.indiv[25,1]    0.557   0.065   0.429   0.514   0.557   0.601   0.683 1.001 25000
mu.year.indiv[26,1]    1.189   0.064   1.062   1.146   1.189   1.232   1.313 1.001 24000
mu.year.indiv[27,1]    1.019   0.063   0.893   0.976   1.019   1.062   1.142 1.001 25000
mu.year.indiv[28,1]    1.131   0.062   1.010   1.089   1.131   1.172   1.250 1.001 14000
mu.year.indiv[29,1]    1.407   0.063   1.282   1.364   1.407   1.449   1.531 1.001 15000
mu.year.indiv[30,1]    0.377   0.066   0.247   0.333   0.377   0.421   0.504 1.001 23000
mu.year.indiv[31,1]    1.000   0.057   0.889   0.962   1.000   1.039   1.112 1.001 25000
mu.year.indiv[32,1]    0.755   0.063   0.632   0.712   0.754   0.797   0.879 1.001 25000
mu.year.indiv[1,2]     1.025   0.070   0.888   0.978   1.025   1.072   1.162 1.001 14000
mu.year.indiv[2,2]     1.033   0.067   0.902   0.988   1.033   1.078   1.165 1.001 19000
mu.year.indiv[3,2]     0.846   0.066   0.718   0.802   0.846   0.891   0.976 1.001 25000
mu.year.indiv[4,2]     1.038   0.070   0.902   0.991   1.038   1.086   1.175 1.001 25000
mu.year.indiv[5,2]     1.192   0.071   1.052   1.145   1.192   1.240   1.331 1.001 25000
mu.year.indiv[6,2]     1.027   0.069   0.893   0.981   1.028   1.074   1.163 1.001 19000
mu.year.indiv[7,2]     0.999   0.065   0.872   0.955   1.000   1.044   1.128 1.001 15000
mu.year.indiv[8,2]     0.782   0.068   0.649   0.736   0.782   0.828   0.916 1.001 25000
mu.year.indiv[9,2]     0.907   0.058   0.793   0.868   0.907   0.946   1.021 1.001 15000
mu.year.indiv[10,2]    1.008   0.067   0.876   0.963   1.009   1.053   1.140 1.001 24000
mu.year.indiv[11,2]    1.207   0.068   1.074   1.161   1.207   1.253   1.340 1.001 25000
mu.year.indiv[12,2]    0.964   0.069   0.828   0.917   0.964   1.010   1.099 1.001 25000
mu.year.indiv[13,2]    1.038   0.067   0.908   0.993   1.038   1.082   1.169 1.001 24000
mu.year.indiv[14,2]    1.316   0.068   1.183   1.269   1.316   1.361   1.449 1.001 12000
mu.year.indiv[15,2]    0.569   0.070   0.433   0.522   0.569   0.616   0.707 1.001  9400
mu.year.indiv[16,2]    1.417   0.066   1.290   1.373   1.417   1.461   1.549 1.001 14000
mu.year.indiv[17,2]    1.003   0.067   0.872   0.958   1.003   1.049   1.135 1.001 15000
mu.year.indiv[18,2]    1.349   0.066   1.221   1.304   1.349   1.393   1.476 1.001 17000
mu.year.indiv[19,2]    0.896   0.063   0.771   0.853   0.896   0.939   1.020 1.001 25000
mu.year.indiv[20,2]    1.177   0.063   1.053   1.134   1.177   1.219   1.301 1.001 25000
mu.year.indiv[21,2]    0.548   0.084   0.384   0.490   0.548   0.604   0.712 1.001  6500
mu.year.indiv[22,2]    0.962   0.064   0.837   0.920   0.962   1.005   1.086 1.001  9400
mu.year.indiv[23,2]    1.079   0.069   0.943   1.034   1.079   1.125   1.214 1.001 15000
mu.year.indiv[24,2]    1.124   0.070   0.987   1.077   1.124   1.171   1.261 1.001 25000
mu.year.indiv[25,2]    0.566   0.068   0.430   0.520   0.566   0.612   0.699 1.001 25000
mu.year.indiv[26,2]    1.197   0.067   1.065   1.152   1.197   1.243   1.329 1.001 25000
mu.year.indiv[27,2]    1.027   0.067   0.896   0.982   1.027   1.072   1.160 1.001  9700
mu.year.indiv[28,2]    1.139   0.065   1.012   1.096   1.139   1.183   1.267 1.001 12000
mu.year.indiv[29,2]    1.415   0.067   1.283   1.370   1.415   1.460   1.546 1.001  7400
mu.year.indiv[30,2]    0.385   0.069   0.253   0.339   0.386   0.432   0.520 1.001 25000
mu.year.indiv[31,2]    1.009   0.061   0.890   0.967   1.009   1.050   1.129 1.001 14000
mu.year.indiv[32,2]    0.763   0.067   0.633   0.718   0.762   0.808   0.894 1.001 16000
mu.year.indiv[1,3]     1.066   0.071   0.928   1.018   1.066   1.113   1.204 1.001 20000
mu.year.indiv[2,3]     1.074   0.068   0.941   1.028   1.074   1.120   1.208 1.001 25000
mu.year.indiv[3,3]     0.887   0.067   0.757   0.842   0.887   0.932   1.016 1.001 25000
mu.year.indiv[4,3]     1.079   0.070   0.940   1.031   1.080   1.127   1.216 1.001 25000
mu.year.indiv[5,3]     1.233   0.071   1.093   1.185   1.233   1.281   1.373 1.001 25000
mu.year.indiv[6,3]     1.068   0.069   0.930   1.022   1.068   1.115   1.204 1.001 25000
mu.year.indiv[7,3]     1.040   0.066   0.912   0.996   1.040   1.085   1.171 1.001 25000
mu.year.indiv[8,3]     0.823   0.069   0.688   0.776   0.823   0.869   0.959 1.001 15000
mu.year.indiv[9,3]     0.947   0.059   0.831   0.908   0.948   0.987   1.062 1.001 25000
mu.year.indiv[10,3]    1.049   0.069   0.916   1.003   1.048   1.094   1.184 1.001 23000
mu.year.indiv[11,3]    1.248   0.069   1.112   1.201   1.248   1.294   1.384 1.001 25000
mu.year.indiv[12,3]    1.004   0.070   0.867   0.957   1.004   1.052   1.142 1.001 25000
mu.year.indiv[13,3]    1.079   0.067   0.947   1.033   1.079   1.124   1.211 1.001 18000
mu.year.indiv[14,3]    1.356   0.069   1.223   1.310   1.356   1.403   1.491 1.001 11000
mu.year.indiv[15,3]    0.610   0.070   0.472   0.563   0.610   0.657   0.748 1.001 11000
mu.year.indiv[16,3]    1.458   0.066   1.328   1.413   1.458   1.502   1.588 1.001 25000
mu.year.indiv[17,3]    1.044   0.068   0.910   0.998   1.044   1.090   1.177 1.001 12000
mu.year.indiv[18,3]    1.389   0.067   1.261   1.344   1.389   1.433   1.521 1.001 16000
mu.year.indiv[19,3]    0.937   0.064   0.811   0.893   0.937   0.981   1.064 1.001 25000
mu.year.indiv[20,3]    1.218   0.064   1.094   1.174   1.218   1.261   1.344 1.001 25000
mu.year.indiv[21,3]    0.588   0.085   0.422   0.531   0.588   0.645   0.755 1.001  6100
mu.year.indiv[22,3]    1.003   0.064   0.878   0.960   1.003   1.046   1.128 1.001 14000
mu.year.indiv[23,3]    1.120   0.069   0.985   1.074   1.120   1.166   1.254 1.001 13000
mu.year.indiv[24,3]    1.165   0.071   1.027   1.118   1.165   1.212   1.303 1.001 23000
mu.year.indiv[25,3]    0.606   0.070   0.469   0.559   0.607   0.653   0.746 1.001 25000
mu.year.indiv[26,3]    1.238   0.068   1.105   1.192   1.238   1.283   1.370 1.001 25000
mu.year.indiv[27,3]    1.068   0.068   0.937   1.022   1.068   1.114   1.200 1.001 13000
mu.year.indiv[28,3]    1.180   0.066   1.051   1.135   1.180   1.225   1.310 1.001  8500
mu.year.indiv[29,3]    1.456   0.067   1.325   1.410   1.456   1.501   1.587 1.001  9600
mu.year.indiv[30,3]    0.426   0.069   0.291   0.380   0.427   0.472   0.562 1.001 25000
mu.year.indiv[31,3]    1.049   0.062   0.928   1.007   1.050   1.091   1.172 1.001 15000
mu.year.indiv[32,3]    0.804   0.069   0.669   0.757   0.803   0.850   0.938 1.001 11000
mu.year.indiv[1,4]     1.004   0.070   0.866   0.957   1.004   1.051   1.142 1.001 25000
mu.year.indiv[2,4]     1.012   0.067   0.879   0.967   1.012   1.056   1.144 1.001 16000
mu.year.indiv[3,4]     0.825   0.066   0.694   0.780   0.825   0.869   0.953 1.001 14000
mu.year.indiv[4,4]     1.017   0.069   0.882   0.969   1.017   1.064   1.154 1.001 17000
mu.year.indiv[5,4]     1.171   0.070   1.033   1.124   1.170   1.217   1.308 1.001 25000
mu.year.indiv[6,4]     1.006   0.068   0.871   0.961   1.006   1.051   1.138 1.001 14000
mu.year.indiv[7,4]     0.978   0.065   0.850   0.934   0.978   1.021   1.105 1.001 20000
mu.year.indiv[8,4]     0.761   0.069   0.626   0.715   0.760   0.806   0.896 1.001 20000
mu.year.indiv[9,4]     0.885   0.058   0.772   0.846   0.886   0.924   0.998 1.001 11000
