plot,Tree number,Species,X coord,Y coord,T1_DBH,Tree CX code,Leaf Cx,Leaf Density,Stem,Insects,Meristem,T2_DBH,Tree height,,,
127,2051,ABCO,4,25.7,22.9,,2,2,1,2,2,25.4,13.62,,,
127,2050,PMSE,4.3,27.5,40.8,,,,,,,,,,,DSF
127,2049,ABCO,1.5,25,21.9,,2,1,0,2,2,24.7,13.56,,,
127,2047,PIPO,7.5,25.5,36.8,,2,2,2,2,2,38.9,22.68,,,
127,2046,PIPO,7.9,22,35.5,,2,1.5,2,2,2,38.4,24.77,,,
127,2045,PIPO,6.6,16.5,34.9,,2,1,2,2,2,37.1,23.99,,,
127,2044,PIPO,9.9,16,32,,1,1,1,2,2,34.9,20.36,,,
127,2043,PSME,13,15.6,24.5,,2,2,1,2,2,29,13.22,,,
127,2042,ABCO,11.6,19.2,29.3,,2,2,1,2,2,34.8,19.64,,,
127,2039,PIPO,13.2,33,30.2,,2,1,1,2,1,31.5,19.86,,,
127,2040,PIPO,15.8,29.1,29,,2,2,1,2,2,30.4,21.9,,,
127,2038,PIPO,18,29.7,32.7,,2,1,1,2,1,34.3,22.59,,,
127,2037,PIPO,16.2,26.6,40.9,,2,2,1,2,1,43.5,24.18,,,
127,2036,PIPO,18.9,22.2,35.3,,2,1,1,2,1,35.9,18.97,,,
127,2035,PIPO,24.3,16.9,65.5,,2,2,1,2,2,65.5,31.87,,,
127,2033,PIPO,23.7,30.8,29.8,,2,1,1,2,2,32.4,24.5,,,
127,2032,PIPO,23.9,35,26.7,,2,2,1,2,1,27.9,18.63,,,
127,2031,PIPO,28.9,33.1,27.7,,2,2,1,2,2,29.6,22.23,,,
127,2028,PIPO,33.3,31.7,40.5,,2,2,2,2,2,43.6,26.83,,,
127,2027,PIPO,37.1,29.1,39.1,,2,2,2,2,2,41.8,25.49,,,
127,2026,PIPO,36.5,32.6,35,,,,,,,,,,,missing
127,2025,PIPO,38.2,33.2,27.6,,1,1,1,2,2,31.3,22.3,,,
127,2024,PIPO,39.5,31.5,67.6,,,,,,,,,,,missing
127,2023,PIPO,48,33.4,49.5,,1,2,1,2,2,50.5,20.47,,,
127,2021,ABCO,47.6,25,26.2,,2,2,2,2,2,28.7,17.11,,,
127,2019,PIPO,45.9,21.5,25.1,,2,1,1,2,2,26.3,19.19,,,
127,2018,PSME,41.6,19.8,21.5,,2,2,1,2,2,24,16.32,,,
127,2016,PSME,38.1,18.3,24.5,,2,2,1,2,1,26.6,19.14,,,
127,2015,ABCO,35.5,21.6,35.6,,2,2,2,2,2,35.8,19.13,,,
127,2014,PIPO,41,25,28.8,,2,2,1,2,2,31,20.88,,,
127,2013,PIPO,39,27.6,29.8,,2,1,1,2,2,31.6,22.48,,,
127,2012,PIPO,18.2,15.4,43.6,,1,2,1,2,2,46.1,24.42,,,
127,2067,PIPO,34.1,23.1,10.7,,2,0,1,2,0,10.7,9.23,,,
127,2059,PIPO,30.8,22.1,13.6,,2,1,1,2,1,13.8,12.1,,,
127,2056,PIPO,33.1,20.1,16,,,,,,,,,,,missing
127,2064,PIPO,32.2,23,20.3,,2,1,1,2,1,20.8,18.6,,,
127,2061,PIPO,28.6,21.1,24,,2,1,1,2,0,24.8,14.88,,,
127,2057,PIPO,33.7,20.5,30.4,,1,2,1,2,2,32.9,26.6,,,
127,2058,PIPO,26.7,22.6,35.8,,2,2,1,2,2,38,23.05,,,
127,2096,PSME,38.2,8.2,26.7,,2,1,1,2,2,26.1,18.7,,,
127,2097,PSME,37,9,26.6,,2,2,1,2,1,26.4,20.46,,,
127,2099,psme,36.4,6.6,24.4,,2,1,1,2,1,24.8,17.34,,,
127,2200,pipo,34.5,2.5,81.5,,2,2,2,2,2,79.1,31.36,,,
127,9999,PSME,26,11,33.7,,,,,,,,,,,missing
127,5998,PIST,32,20,11.3,,2,2,1,2,2,11.5,11.05,,,
127,5999,PIPO,31.5,20.5,10.1,,2,1,0,2,0,10.5,7.38,,,
127,6000,PIPO,31,25,8.4,,,,,,,,,,,DSF
127,5997,,,,,,2,2,1,2,2,24,14.47,,,
137,2126,PSME,39.6,1.8,20.5,LG,2,2,2,2,2,24.2,13.3,,,x
137,2127,PIPO,12.7,6.3,30.2,LF,2,1,1,2,2,31,15.15,,,x
137,2129,PIPO,1,44.7,26.9,LG,1,2,2,2,2,28.4,12.43,,,x
137,2131,PIPO,13.9,45.9,50,DFI,,,,,,,,,,DFI
137,2132,PIPO,25,48.7,40.3,DFL,,,,,,,,,,DFL
137,2134,PIPO,49.5,38.1,64.1,DSF,,,,,,,,,,DSF
137,2135,PIPO,47.3,11.6,53.9,LE,2,2,2,2,1,54.3,21.13,,,x
137,2136,PIPO,46.2,4.1,32.8,LG,2,2,2,2,2,34.1,14.51,,,x
137,2137,PIPO,34.4,4.7,56.9,LE,2,2,2,2,2,57.4,20.52,,,x
137,2138,PIPO,31.7,3.6,38.9,LF,2,1,1,2,2,38.9,15.32,,,x
137,2139,PIPO,29.3,11.1,35.5,LF,2,2,1,2,2,35.9,17.24,,,x
137,2140,PIPO,26.8,10.8,46,LG,2,2,2,2,2,46.4,18.4,,,x
137,2141,PIPO,24.1,5,50.9,LG,2,2,1,2,1,51.3,16.07,,,x
137,2142,PIPO,19.6,2.4,38.6,DSL,,,,,,,,,,DSL
137,2144,PIPO,14.5,7.7,34.7,DSL,,,,,,,,,,DSL
137,2145,PIPO,15.2,12.9,39,LG,2,1,2,2,1,38.6,19.83,,,x
137,2147,PIPO,9,8.9,34.4,LG,2,2,1,2,2,35.7,18.86,,,x
137,2148,PIPO,7.8,5.2,30.1,LF,2,1,1,2,2,30.5,14.69,,,x
137,2149,PIPO,6,4.4,39.5,LF,2,2,1,2,1,39.8,15.53,,,x
137,2150,PIPO,7.2,8,42,LF,2,1,2,2,2,42.6,19.07,,,x
137,2151,PIPO,5.7,10.5,44.1,LG,2,2,2,2,1,44.1,19.33,,,x
137,2152,PIPO,2.9,4.7,31.8,LG,1,1,1,2,2,32,14.03,,,x
137,2153,PIPO,5.3,1.9,35.5,LG,2,2,1,2,1,35.9,12.86,,,x
137,2161,PIPO,22.4,21.7,48.5,LF,1,2,2,2,0,48.1,17.96,,,x
137,2163,PIPO,26.9,17.6,33.1,LG,2,2,1,2,2,34.5,13.36,,,x
137,2164,PIPO,41.5,15.4,45.8,LF,2,1,1,2,1,46.6,15.58,,,x
137,2165,PIPO,47.4,18.6,58.8,LF,2,1,1,2,1,58.1,19.28,,,x
137,2166,PIPO,47.7,25.9,36.5,LG,2,2,1,2,2,37.2,18.54,,,x
137,2167,PIPO,42.8,28.1,32.4,LF,2,1,1,2,1,32.8,18.4,,,x
137,2168,PIPO,43.7,34,38.1,LP,2,2,1,2,2,37.9,19.5,,,x
137,2169,PIPO,41.7,32.3,45.6,LG,2,2,1,2,1,47.1,18.06,,,x
137,2170,PIPO,38.7,31.9,50.8,LG,2,2,1,2,2,50.6,18.71,,,x
137,2172,PIPO,26.8,33.5,29.9,LG,2,2,1.5,2,2,51.2,19.16,,,x
137,2173,PIPO,20.7,37,45.6,LG,2,2,1,2,2,45.8,15.06,,,x
137,2174,PIPO,7.2,27.6,33.7,LF,2,1,1,2,1,34.5,17.6,,,x
137,2175,PIFL,3.3,25.3,20.9,LE,2,2,2,2,2,24.5,10.95,,,x
137,2176,PSME,24.3,27,9,LE,2,2,2,2,2,9.3,3.8,,,x
137,2177,PIPO,20.1,26.9,36.9,LF,2,2,1,2,1,37.2,19.07,,,x
137,2178,PIPO,21.9,26,29.9,LF,2,2,1,2,1,31.8,10.72,,,x
137,2180,PIPO,19.8,34,56.1,LG,2,2,2,2,2,56.8,21.3,,,x
137,2183,PIPO,11.7,18,36.9,LG,2,2,1,2,2,38.2,19.77,,,x
137,2184,PIPO,10.3,12.4,26.9,DSB,,,,,,,,,,DSB
137,2185,PIPO,9.7,16.5,36.4,DSI,,,,,,,,,,DSI
137,2186,PIPO,5.4,18.8,38.6,LG,2,1,1,2,2,39.8,18.9,,,x
