plot,Tree number,Species,X coord,Y coord,T1_DBH,T1_BasalArea,Tree CX code,Leaf Cx,Leaf Density,Stem,Insects,Meristem,T2_DBH,T2_BasalArea,Tree height,DBH_inc,,
113,1365,PIPO,6.5,23,43.2,1465.74023,LF,1.5,1.5,1.5,1.5,1,42.4,1411.95621,14.88,-0.8,,
113,1366,PIPO,2,34,31.4,774.3705191,LG,2,2,2,2,2,35.5,989.7971994,15.39,4.1,,
113,1367,PIPO,16.4,22.3,47.4,1764.599687,LG,1,2,2,1,1,47.7,1787.007078,20.87,0.3,,
113,1401,PIPO,33.4,38.9,40.1,1262.927034,LF,2,1,1,2,1.5,40.2,1269.233776,17.54,0.1,,
113,1402,PIPO,31.5,38.5,40.5,1288.248249,LF,2,1,1,2,2,42.4,1411.95621,18.63,1.9,,
113,1403,PIPO,28.5,40.2,42.1,1392.046383,LF,2,2,2,2,2,42.3,1405.303893,15.79,0.2,,
113,1404,PIPO,26.8,35.2,29.5,683.4921744,LF,2,2,1,2,1.5,31.1,759.644316,9.76,1.6,,
113,1405,PIPO,27.2,35.8,25.5,510.7047244,LG,2,2,2,2,2,27.2,581.0684864,12.49,1.7,,
113,1406,PIPO,23.4,49.2,36.3,1034.910432,LG,2,1,1,2,2,37.2,1086.864476,18.05,0.9,,
113,1407,PIPO,13.5,43.9,27.9,611.361268,LE,2,2,2,2,2,31.1,759.644316,12.32,3.2,,
113,1408,PIPO,8.7,40.5,39.6,1231.628944,LF,1,1,2,1,2,39.5,1225.416449,16.52,-0.1,,
113,1409,PIPO,0.5,37.3,39.3,1213.038585,LG,2,2,2,1,2,41,1320.253198,18.28,1.7,,
113,1410,PIPO,0.2,42.3,33.7,891.9680868,LG,2,2,1.5,2,2,35.4,984.2287311,8.65,1.7,,
113,1417,PIPO,14.1,5.8,50.2,1979.233116,LG,2,2,1,2,2,51.6,2091.167968,18.9,1.4,,
113,1418,PIPO,22.5,11.9,49.5,1924.420224,LF,,,,,,,0,,,,
113,1428,PIPO,36.4,6,84.9,5661.153034,LG,,,,,,,0,,,,
113,1433,PIPO,41.8,30.1,48.1,1817.10351,LG,2,2,2,2,1.5,48.1,1817.10351,16.43,0,,
113,1435,PIPO,41.7,24.5,38.3,1152.091739,LG,1.5,1.5,1,2,2,40.7,1301.003105,13.92,2.4,,
113,1437,PIPO,33.7,28.7,30.2,716.3139359,LG,2,1.5,1,2,2,31.8,794.2253679,14.47,1.6,,
113,1438,PIPO,35.3,27.3,30,706.85775,LF,2,1,1,2,1,30.8,745.0594844,8.02,0.8,,
113,1439,PIPO,34.6,30.7,25.3,502.7250858,LP,1,1,0.5,1,1,24.1,456.166722,11.91,-1.2,,
113,1440,PIPO,32.9,34.3,29.5,683.4921744,LF,2,1,1,2,1,29.6,688.1338736,13.42,0.1,,
113,1452,PIPO,18.9,28.3,33.3,870.9194338,LP,,,,,,,0,,,,
113,1455,PIPO,19.8,26.7,44.9,1583.369214,LG,,,,,,,0,,,,
113,5644,PIPO,48,20.4,51.2,2058.872422,LF,2,2,1,2,1,51,2042.818898,19.14,-0.2,,
125,1101,PIPO,43.9,11,26.9,568.321485,LG,2,1,1,2,2,31.6,784.2665276,19.95,4.7,,
125,1102,PIPO,42.2,8.7,25.4,506.7070511,LG,2,2,1,2,2,30.2,716.3139359,20.28,4.8,,
125,1103,PIPO,32.6,10.1,32.1,809.281438,LF,2,1,0,2,5,31.9,799.22835,12.44,-0.2,,
125,1104,PIPO,29,10.8,28.1,620.15772,LF,2,1,1,2,2,28.4,633.4702076,16.53,0.3,,
125,1105,PIPO,30.8,10,56.6,2516.068015,DSL,,,,,,,0,,,,
125,1106,PIPO,28.2,12.7,56.4,2498.318032,LG,,,,,,,0,,,,
125,1107,PIPO,25.3,9.2,62.5,3067.958984,LE,2,2,2,2,2,59.6,2789.857584,18.59,-2.9,,
125,1108,PIPO,5.5,14.8,26.2,539.1282599,LF,,,,,,,0,,,,
125,1109,PIPO,4.4,12.2,25.8,522.7919919,LG,2,2,1,2,2,29.4,678.8661831,21.21,3.6,,
125,1110,PIPO,20,0.6,27.1,576.803778,LG,2,2,1,2,2,30.3,721.0655908,17.31,3.2,,
125,1111,PIPO,17,1.9,56.1,2471.810866,LG,2,2,2,2,2,58.2,2660.329828,28.25,2.1,,
